Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
180505_001_EXP0032d_0_B_DDA	B_0	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		8287	64727	0	111456	17852	0	93604	2331	1409	0	922	2.09	7.89	NaN	0.99	1505	3699091	62361	1.69	1549	2.48	198086	15758	12677	7.96	10.55	1594	10.12	+	2.8768	3.6954	1.7162	2.2019	
180505_004_EXP0032d_30_B_DDA	B_30	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		9932	69525	0	118975	19945	0	99030	2547	1459	0	1088	2.14	7.32	NaN	1.1	1740	4931328	67344	1.37	1524	2.26	318936	17889	14908	5.61	6.95	1664	9.3	+	2.8466	3.6367	1.7069	2.1817	
180505_007_EXP0032d_2_B_DDA	B_2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		10135	52365	0	88281	16111	0	72170	2123	1240	0	883	2.4	7.7	NaN	1.22	1402	5049033	50332	1	1432	2.85	327985	14219	11646	4.34	5.52	1495	10.51	+	2.6169	3.3902	1.5976	2.0618	
180505_010_EXP0032d_60_B_DDA	B_60	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		9939	54219	0	91923	16263	0	75660	2208	1326	0	882	2.4	8.15	NaN	1.17	1355	4387143	52207	1.19	1394	2.67	279410	14455	12013	5.17	6.46	1436	9.93	+	2.9916	3.8287	1.7763	2.2558	
180505_013_EXP0032d_15_B_DDA	B_15	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		10426	46934	0	79027	14589	0	64438	2124	1201	0	923	2.69	8.23	NaN	1.43	1340	4798458	45094	0.94	1337	2.96	292869	12955	10412	4.42	5.59	1300	10.03	+	2.9583	3.7951	1.7985	2.2675	
180505_016_EXP0032d_5_B_DDA	B_5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		10054	46291	0	78219	14105	0	64114	2130	1262	0	868	2.72	8.95	NaN	1.35	1343	4460016	44506	1	1251	2.81	256666	12541	10067	4.89	6.27	1225	9.77	+	2.7728	3.5933	1.6923	2.1958	
180508_001_EXP0032d_60_C_DDA	C_60	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		10523	52896	0	89902	15554	0	74348	2120	1207	0	913	2.36	7.76	NaN	1.23	1327	4976691	51066	1.03	1340	2.62	294045	13946	11453	4.74	5.94	1321	9.47	+	2.8667	3.6737	1.7143	2.1749	
180508_004_EXP0032d_5_C_DDA	C_5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		9959	59062	0	101004	16726	0	84278	1964	1272	0	692	1.94	7.6	NaN	0.82	1324	4388351	57166	1.3	1350	2.36	277056	14973	12303	5.4	6.88	1450	9.68	+	2.4853	3.2505	1.5035	1.9627	
180508_007_EXP0032d_30_C_DDA	C_30	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		10894	62569	0	107216	17546	0	89670	2122	1236	0	886	1.98	7.04	NaN	0.99	1459	4892578	60571	1.24	1385	2.29	286353	15771	12996	5.51	6.97	1459	9.25	+	2.8114	3.5999	1.6766	2.1304	
180508_010_EXP0032d_0_C_DDA	C_0	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term);Carbamidomethyl (C);NEM (C)			False	False	1	2		Standard		8892	56725	0	96238	16414	0	79824	1907	1141	0	766	1.98	6.95	NaN	0.96	1257	3999825	54857	1.37	1276	2.33	234787	14734	11967	6.28	8.06	1419	9.63	+	2.6861	3.5302	1.6535	2.1657	
