paralog1_uniprot,paralog2_uniprot
Acsm2,Acsm4
Acsm2,Acsm5
Acsm2,Acsm3
Acsm4,Acsm5
Acsm4,Acsm3
Acsm5,Acsm3
Ring1,Rnf2
RGD1561661,LOC100359668
RGD1561661,LOC100362384
RGD1561661,Ftl1
RGD1561661,LOC108352322
RGD1561661,LOC680520
RGD1561661,Ftmt
RGD1561661,Fthl17e
RGD1561661,RGD1563378
RGD1561661,RGD1560203
RGD1561661,LOC691895
RGD1561661,Fth1
LOC100359668,LOC100362384
LOC100359668,Ftl1
LOC100359668,LOC108352322
LOC100359668,LOC680520
LOC100359668,Ftmt
LOC100359668,Fthl17e
LOC100359668,RGD1563378
LOC100359668,RGD1560203
LOC100359668,LOC691895
LOC100359668,Fth1
LOC100362384,Ftl1
LOC100362384,LOC108352322
LOC100362384,LOC680520
LOC100362384,Ftmt
LOC100362384,Fthl17e
LOC100362384,RGD1563378
LOC100362384,RGD1560203
LOC100362384,LOC691895
LOC100362384,Fth1
Ftl1,LOC108352322
Ftl1,LOC680520
Ftl1,Ftmt
Ftl1,Fthl17e
Ftl1,RGD1563378
Ftl1,RGD1560203
Ftl1,LOC691895
Ftl1,Fth1
LOC108352322,LOC680520
LOC108352322,Ftmt
LOC108352322,Fthl17e
LOC108352322,RGD1563378
LOC108352322,RGD1560203
LOC108352322,LOC691895
LOC108352322,Fth1
LOC680520,Ftmt
LOC680520,Fthl17e
LOC680520,RGD1563378
LOC680520,RGD1560203
LOC680520,LOC691895
LOC680520,Fth1
Ftmt,Fthl17e
Ftmt,RGD1563378
Ftmt,RGD1560203
Ftmt,LOC691895
Ftmt,Fth1
Fthl17e,RGD1563378
Fthl17e,RGD1560203
Fthl17e,LOC691895
Fthl17e,Fth1
RGD1563378,RGD1560203
RGD1563378,LOC691895
RGD1563378,Fth1
RGD1560203,LOC691895
RGD1560203,Fth1
LOC691895,Fth1
Golph3l,Golph3
Reep6,Reep5
Reep6,Reep3
Reep6,Reep1
Reep6,Reep2
Reep6,Reep4
Reep5,Reep3
Reep5,Reep1
Reep5,Reep2
Reep5,Reep4
Reep3,Reep1
Reep3,Reep2
Reep3,Reep4
Reep1,Reep2
Reep1,Reep4
Reep2,Reep4
Hsp90b1,Trap1
Hsp90b1,Hsp90ab1
Hsp90b1,Hsp90aa1
Trap1,Hsp90ab1
Trap1,Hsp90aa1
Hsp90ab1,Hsp90aa1
Lca5l,Lca5
Spata6l,Spata6
Zmat1,Krcc1
Bpifa2f,Bpifa2
Ppp1r3a,Ppp1r3g
